words,mode,DCG,total_RFM,Var_TRFM
사실,1,5.538255713,102.1124762,35.4423632
사실,2,5.476144394,117.7474762,29.09218912
사실,3,5.535902138,113.5474762,19691.9246
사실,4,5.538764046,102.1124762,60.22362312
기본,1,15.01294877,106.5166667,80.01648745
기본,2,14.98642129,108.8242857,362.3635494
기본,3,14.98679782,108.8242857,4.97196E+13
기본,4,15.0145961,106.5166667,65880.66216
길,1,8.139257355,118.4909486,36.59445616
길,2,8.080950599,121.2407462,55.83402626
길,3,8.138223243,118.4909486,342424.6662
길,4,8.139257355,118.4909486,260.3886681
행동,1,10.35311982,100.8005786,10.91721858
행동,2,10.31736747,100.8005786,26.72061187
행동,3,10.35609326,100.8005786,98966.1875
행동,4,10.35609326,100.8005786,117.4725257
시스템,1,15.25166836,98.14360795,70.00326652
시스템,2,15.21521921,102.5143145,333.0534189
시스템,3,15.22223093,102.5143145,1.52231E+13
시스템,4,15.25247327,98.14360795,51367.43007
개발,1,14.92824911,112.2990669,50.92836694
개발,2,14.92119955,112.2990669,230.7984495
개발,3,14.93400331,112.2990669,11411859918
개발,4,14.94181131,112.2990669,13546.25594
전,1,7.334404145,92.52753247,71.32193642
전,2,7.05116353,112.5108641,66.19536183
전,3,7.09367768,106.859088,550987.7334
전,4,7.340664179,93.99038961,253.0230872
개인,1,6.021273835,82.45863768,19.82298569
개인,2,5.804951749,96.89476671,20.52087625
개인,3,5.984603456,91.92330435,5233.433709
개인,4,6.036153011,83.59530435,27.98894996
준비,1,9.604734396,116.1319048,20.37291982
준비,2,9.534196813,117.5472381,46.62076513
준비,3,9.604734396,116.1319048,216619.5035
준비,4,9.608486106,116.1319048,210.8716495
개인,1,6.021273835,82.45863768,19.82298569
개인,2,5.804951749,96.89476671,20.52087625
개인,3,5.984603456,91.92330435,5233.433709
개인,4,6.036153011,83.59530435,27.98894996
나라,1,9.301528355,109.5892152,14.0570117
나라,2,9.029480892,112.1409799,28.92874874
나라,3,9.316301299,109.5892152,66129.43802
나라,4,9.386290224,109.5892152,103.3386211
집,1,18.49448259,121.2370783,41.08429676
집,2,18.49448259,121.2370783,250.5503125
집,3,18.49448259,121.2370783,7.69195E+11
집,4,18.49448259,121.2370783,39281.56396
증가,1,7.821063616,97.43051948,17.50944474
증가,2,7.307194184,107.1305195,17.8357075
증가,3,7.802421785,97.43051948,9617.8477
증가,4,7.881249216,97.43051948,36.3605846
정리,1,19.14735671,109.2512919,150.6214356
정리,2,20.76519604,112.0312919,1189.032877
정리,3,20.81029808,109.2512919,4.12E+21
정리,4,20.81029808,109.2512919,1074609.535
이익,1,10.70153046,105.6687848,6.898382073
이익,2,10.68652905,105.6687848,17.10007203
이익,3,10.7026119,105.6687848,596655.2165
이익,4,10.71056794,105.6687848,211.0038553
마음,1,7.364309529,98.96603401,12.54582472
마음,2,7.268804452,101.7128912,16.58950984
마음,3,7.361951402,98.96603401,5913.940291
마음,4,7.368515677,98.96603401,25.5700122
기준,1,5.630229808,104.7500538,8.387248021
기준,2,5.330446756,117.3353871,8.879849169
기준,3,5.60439602,109.3233871,167.817986
기준,4,5.636325806,104.7500538,2.097107031
활동,1,7.857917541,92.91537962,11.60134154
활동,2,7.607134701,97.82146658,16.89663176
활동,3,7.857917541,92.91537962,5581.114466
활동,4,7.866641994,92.91537962,25.28137016
회사,1,15.12867695,107.2250927,35.94730504
회사,2,15.01785055,112.1128705,151.3853095
회사,3,15.35442273,107.2250927,1780933082
회사,4,15.35442273,107.2250927,6536.612648
산업,1,24.55386074,110.828,14.6018073
산업,2,24.77619024,110.828,152.1745553
산업,3,24.79053989,110.828,1.09156E+14
산업,4,24.7884519,110.828,65503.90535
정도,1,3.009174508,97.3795,13.24250747
정도,2,3.025953909,111.3890238,4.059588211
정도,3,3.071655887,107.1727405,4.50444407
정도,4,3.05908161,101.4287405,0.047821604
교육,1,21.41632581,113.9834581,86.84181408
교육,2,21.38633125,113.9834581,1027.526467
교육,3,21.47582037,113.9834581,2.21E+22
교육,4,21.48091698,113.9834581,2235809.184
재테크,1,32.91027968,112.350325,9.095233706
재테크,2,33.07056581,112.350325,263.1120894
재테크,3,33.83261975,112.350325,4.58E+19
재테크,4,33.09113164,112.350325,463089.1787
비용,1,7.560982879,108.7585073,3.712893553
비용,2,7.320495827,115.842674,4.270051472
비용,3,7.554380507,109.0110073,517.1215184
비용,4,7.591849878,105.6560073,4.728074474
부,1,13.98480437,109.8417541,50.40122674
부,2,13.92518868,112.6067541,185.5995699
부,3,13.98322174,109.8417541,23869098891
부,4,13.98480437,109.8417541,10892.80298
핵심,1,14.06600018,108.1164203,42.22739616
핵심,2,13.9625595,112.3501703,204.0305165
핵심,3,14.07151993,108.1164203,2.4813E+12
핵심,4,14.08019453,108.1164203,20391.95429
환경,1,10.15820164,108.6731225,33.53470059
환경,2,10.09413478,110.7856715,74.95780308
환경,3,10.21180637,108.6731225,1306139.161
환경,4,10.21341187,108.6731225,556.62329
집,1,18.49448259,121.2370783,41.08429676
집,2,18.49448259,121.2370783,250.5503125
집,3,18.49448259,121.2370783,7.69195E+11
집,4,18.49448259,121.2370783,39281.56396
발전,1,10.43344929,108.0035773,31.52085839
발전,2,10.41705082,108.0035773,83.76307052
발전,3,10.45440248,108.0035773,69293278.6
발전,4,10.45474819,108.0035773,1686.342182
구글,1,25.03795624,101.3478254,230.5074887
구글,2,24.94546682,111.7298254,1499.271254
구글,3,24.9942555,109.4748254,4.10E+19
구글,4,25.03795624,101.3478254,1009989.386
업무,1,32.6128808,104.625,97.04729742
업무,2,32.39509168,109.125,2949.367358
업무,3,32.62834014,104.625,4.07E+40
업무,4,32.62834014,104.625,51651676.22
규모,1,5.141395802,107.3900906,7.502669465
규모,2,5.06693653,114.539924,7.464646322
규모,3,5.146980282,109.655924,51.87301468
규모,4,5.144665059,108.4900906,0.528560148
관리,1,18.43270123,99.39406302,16.63022764
관리,2,18.9941932,99.39406302,129.774135
관리,3,19.10046668,99.39406302,1.38534E+12
관리,4,19.08782614,99.39406302,20463.83031
친구,1,7.637552727,107.8895457,13.44278757
친구,2,7.566857013,112.2109743,16.20824476
친구,3,7.596971818,112.2109743,4949.458884
친구,4,7.637883239,107.8895457,23.53391171
지출,1,15.62296426,113.4384589,31.0268941
지출,2,15.91318746,113.4384589,159.6628559
