bid,page
12486355,2
12320167,7
10924505,123
11211133,134
12318952,5
12071674,41
7262295,203
12143302,24
12443866,1
12210808,8
12022296,26
12235899,5
12210807,19
12318953,2
12485922,1
7102772,465
10962059,88
12495377,1
12471755,6
12226782,1
12183297,11
2623907,52
12071985,14
11837875,41
9126761,16
9780781,109
12484319,1
12011269,23
12470879,1
12452635,1
12452643,1
11184159,30
12500695,1
12500670,2
11346623,25
10976112,24
12257387,8
12470533,2
12481749,1
12307519,3
12506775,1
12496161,1
12085033,5
12506773,1
12085032,27
10651869,33
12506722,1
12270860,1
12332478,2
10581742,1
12343436,5
12152498,15
12344293,2
12471762,1
12443718,1
12484831,1
12209976,3
10347313,18
10462544,2
12210483,1
7615129,125
12285299,2
10785953,48
12344258,1
8339910,444
12277851,4
12343397,1
12451288,1
12327332,4
12495567,1
12485952,7
10373169,2
12507656,1
12320696,2
10482576,2
12430548,2
12231827,1
12284894,2
12430535,3
12481690,1
12506782,1
10359171,2
11912107,2
12471319,2
10921488,10
12471497,1
6237489,18
12444074,4
12344328,1
12485139,1
10527683,1
151055,99
10527684,1
12284896,1
7150363,116
12236186,2
7250493,3
12206692,1
12429938,1
